c:\scripts\pestudio\tmp\national lottery.doc,The file is scored (0/55) by virustotal
c:\scripts\pestudio\tmp\opendailypmcsexcel.bat,Not in VirusTotal
c:\scripts\pestudio\tmp\opendevicechecklist.ps1,Not in VirusTotal
c:\scripts\pestudio\tmp\pingsweep.bat,Not in VirusTotal
c:\scripts\pestudio\tmp\prepuseraccountreviewmonthly.bat,Not in VirusTotal
c:\scripts\pestudio\tmp\pulllocalsecpol\whitegloveconfigcheck\whitegloveconfigcheck\program.cs,Not in VirusTotal
c:\scripts\pestudio\tmp\pulllocalsecpol\psexec.exe,The file is scored (1/61) by virustotal
c:\scripts\pestudio\tmp\pulllocalsecpol\whitegloveconfigcheck\good output config files\rdp.dat,The file is scored (0/51) by virustotal
c:\scripts\pestudio\tmp\remoteprocesscreationandoutput.bat,Not in VirusTotal
c:\scripts\pestudio\tmp\host file replace on vpn\backup\scanips.bat,Not in VirusTotal
c:\scripts\pestudio\tmp\host file replace on vpn\backup\scanips_dowork.bat,Not in VirusTotal
c:\scripts\pestudio\tmp\host file replace on vpn\backup\setup.bat,The file is scored (0/54) by virustotal
c:\scripts\pestudio\tmp\pulllocalsecpol\whitegloveconfigcheck\good output config files\shares.dat,Not in VirusTotal
c:\scripts\pestudio\tmp\pulllocalsecpol\start.bat,Not in VirusTotal
c:\scripts\pestudio\tmp\pulllocalsecpol\dropper\start.cmd,Not in VirusTotal
c:\scripts\pestudio\tmp\startdailylogreview.bat,The file is scored (0/55) by virustotal
c:\scripts\pestudio\tmp\startdailylogreviewiepart.bat,Not in VirusTotal
c:\scripts\pestudio\tmp\startinvestigatingalert.bat,Not in VirusTotal
c:\scripts\pestudio\tmp\pulllocalsecpol\dropper\startprocess.cmd,Not in VirusTotal
