c:\scripts\pestudio\tmp\pulllocalsecpol\whitegloveconfigcheck\good output config files\goodconfig.inf,n/a,Not in VirusTotal,1,8B118EB0FA4865D90AB641CB3FA68DF4,BD15B2EDC89A6562EFECDBBEB1880B71FDCBD531,0,The file is not an executable file,9
c:\scripts\pestudio\tmp\pulllocalsecpol\whitegloveconfigcheck\good output config files\goodconfig.inf,n/a,Not in VirusTotal,1,8B118EB0FA4865D90AB641CB3FA68DF4,BD15B2EDC89A6562EFECDBBEB1880B71FDCBD531,0,The file is not an executable file,9
c:\scripts\pestudio\tmp\pulllocalsecpol\dropper\security templates\gpopack.wsf,n/a,Not in VirusTotal,2,07EB2B5F582A49984AAD93D5060A4FF8,B5974C278D343D58380EF96A6F2DF78FB8793A4F,0,The file is not an executable file,9
,,,,,,,The file references blacklisted string(s),1
c:\scripts\pestudio\tmp\pulllocalsecpol\whitegloveconfigcheck\good output config files\goodconfig.inf,n/a,Not in VirusTotal,1,8B118EB0FA4865D90AB641CB3FA68DF4,BD15B2EDC89A6562EFECDBBEB1880B71FDCBD531,0,The file is not an executable file,9
c:\scripts\pestudio\tmp\pulllocalsecpol\dropper\security templates\gpopack.wsf,n/a,Not in VirusTotal,2,07EB2B5F582A49984AAD93D5060A4FF8,B5974C278D343D58380EF96A6F2DF78FB8793A4F,0,The file is not an executable file,9
,,,,,,,The file references blacklisted string(s),1
c:\scripts\pestudio\tmp\hashwifipassword.exe,executable,The file is scored (0/60) by virustotal,7,1018BBF8ADA2DC3799B367012A6B318D,95C3823A14805D66A7769E03FE56FAA8C06849C5,0,The file is scored (0/60) by virustotal,2
,,,,,,,The file expects the .NET runtime,9
,,,,,,,The file references blacklisted string(s),1
,,,,,,,The file opts for Address Space Layout Randomization (ASLR),5
,,,,,,,The manifest identity name is "MyApplication.app",7
,,,,,,,The debug symbols file name is "hashwifipassword.pdb",9
,,,,,,,The file does not reference a Certificate,7
c:\scripts\pestudio\tmp\pulllocalsecpol\whitegloveconfigcheck\good output config files\goodconfig.inf,n/a,Not in VirusTotal,1,8B118EB0FA4865D90AB641CB3FA68DF4,BD15B2EDC89A6562EFECDBBEB1880B71FDCBD531,0,The file is not an executable file,9
c:\scripts\pestudio\tmp\pulllocalsecpol\dropper\security templates\gpopack.wsf,n/a,Not in VirusTotal,2,07EB2B5F582A49984AAD93D5060A4FF8,B5974C278D343D58380EF96A6F2DF78FB8793A4F,0,The file is not an executable file,9
,,,,,,,The file references blacklisted string(s),1
c:\scripts\pestudio\tmp\hashwifipassword.exe,executable,The file is scored (0/60) by virustotal,7,1018BBF8ADA2DC3799B367012A6B318D,95C3823A14805D66A7769E03FE56FAA8C06849C5,0,The file is scored (0/60) by virustotal,2
,,,,,,,The file expects the .NET runtime,9
,,,,,,,The file references blacklisted string(s),1
,,,,,,,The file opts for Address Space Layout Randomization (ASLR),5
,,,,,,,The manifest identity name is "MyApplication.app",7
,,,,,,,The debug symbols file name is "hashwifipassword.pdb",9
,,,,,,,The file does not reference a Certificate,7
c:\scripts\pestudio\tmp\pulllocalsecpol\whitegloveconfigcheck\good output config files\ipv6.dat,n/a,Not in VirusTotal,1,D0A51C7B2480C624E0F55C3E07ED99A2,7D8A7A6591F0E493556557B0F1AD9CDEA8450EFE,0,The file is not an executable file,9
c:\scripts\pestudio\tmp\pulllocalsecpol\whitegloveconfigcheck\good output config files\goodconfig.inf,n/a,Not in VirusTotal,1,8B118EB0FA4865D90AB641CB3FA68DF4,BD15B2EDC89A6562EFECDBBEB1880B71FDCBD531,0,The file is not an executable file,9
c:\scripts\pestudio\tmp\pulllocalsecpol\dropper\security templates\gpopack.wsf,n/a,Not in VirusTotal,2,07EB2B5F582A49984AAD93D5060A4FF8,B5974C278D343D58380EF96A6F2DF78FB8793A4F,0,The file is not an executable file,9
,,,,,,,The file references blacklisted string(s),1
c:\scripts\pestudio\tmp\hashwifipassword.exe,executable,The file is scored (0/60) by virustotal,7,1018BBF8ADA2DC3799B367012A6B318D,95C3823A14805D66A7769E03FE56FAA8C06849C5,0,The file is scored (0/60) by virustotal,2
,,,,,,,The file expects the .NET runtime,9
,,,,,,,The file references blacklisted string(s),1
,,,,,,,The file opts for Address Space Layout Randomization (ASLR),5
,,,,,,,The manifest identity name is "MyApplication.app",7
,,,,,,,The debug symbols file name is "hashwifipassword.pdb",9
,,,,,,,The file does not reference a Certificate,7
c:\scripts\pestudio\tmp\pulllocalsecpol\whitegloveconfigcheck\good output config files\ipv6.dat,n/a,Not in VirusTotal,1,D0A51C7B2480C624E0F55C3E07ED99A2,7D8A7A6591F0E493556557B0F1AD9CDEA8450EFE,0,The file is not an executable file,9
c:\scripts\pestudio\tmp\killbroswersremote.bat,n/a,Not in VirusTotal,1,3CDC9729A660C87A8708103775DE9764,4B815BA27CE07EE79BBD490260F7DD4F155D5CCE,0,The file is not an executable file,9
c:\scripts\pestudio\tmp\pulllocalsecpol\whitegloveconfigcheck\good output config files\goodconfig.inf,n/a,Not in VirusTotal,1,8B118EB0FA4865D90AB641CB3FA68DF4,BD15B2EDC89A6562EFECDBBEB1880B71FDCBD531,0,The file is not an executable file,9
